name;year;BRA;COL
pop;1961;75330,010;16182,4140
pop;1962;77599,220;16691,2810
pop;1963;79915,555;17210,9570
pop;1964;82262,800;17739,7540
pop;1965;84623,750;18275,8140
pop;1966;86979,280;18811,4060
pop;1967;89323,290;19343,9600
pop;1968;91659,250;19872,5040
pop;1969;94000,380;20392,2640
pop;1970;96369,875;20905,2540
pop;1971;98766,290;21405,4140
pop;1972;101194,390;21898,0550
pop;1973;103666,910;22396,3160
pop;1974;106167,375;22897,8710
pop;1975;108700,516;23403,7300
pop;1976;111286,500;23913,0040
pop;1977;113939,890;24443,9260
pop;1978;116664,375;25003,6070
pop;1979;119447,300;25579,3220
pop;1980;122288,380;26176,1950
pop;1981;125168,060;26785,9820
pop;1982;128065,090;27405,1930
pop;1983;130977,370;28042,3280
pop;1984;133888,780;28689,0310
pop;1985;136783,190;29326,2620
pop;1986;139643,360;29960,1020
pop;1987;142466,270;30603,0470
pop;1988;145253,970;31256,7270
pop;1989;148003,400;31923,1170
pop;1990;150706,440;32601,3950
pop;1991;153336,440;33272,6250
pop;1992;155900,800;33939,0400
pop;1993;158440,880;34614,7340
pop;1994;160980,470;35295,4600
pop;1995;163515,330;35970,1000
pop;1996;166037,120;36632,5700
pop;1997;168546,700;37291,9450
pop;1998;171039,810;37944,4140
pop;1999;173486,280;38585,0300
pop;2000;175873,720;39215,1370
pop;2001;178211,880;39837,8750
pop;2002;180476,690;40454,0470
pop;2003;182629,280;41057,6880
pop;2004;184722,030;41648,2660
pop;2005;186797,340;42220,9400
pop;2006;188820,690;42772,9100
pop;2007;190779,450;43306,5800
pop;2008;192672,310;43815,3120
pop;2009;194517,550;44313,9180
pop;2010;196353,500;44816,1100
pop;2011;198185,310;45308,9000
pop;2012;199977,720;45782,4140
pop;2013;201721,780;46237,9300
pop;2014;203459,660;46677,9450
pop;2015;205188,200;47119,7270
pop;2016;206859,580;47625,9530
pop;2017;208504,950;48351,6700
pop;2018;210166,600;49276,9600
pop;2019;211782,880;50187,4060
pop;2020;213196,310;50930,6640
pop;2021;214326,220;51516,5620
pop;2022;215313,500;51874,0230
pop;2023;216422,440;52085,1680
pop;2024;217637,300;52340,7730
pop;2025;218803,060;52610,7230
pop;2026;219927,160;52902,7420
pop;2027;221002,330;53213,0620
pop;2028;222022,550;53527,0550
pop;2029;222989,900;53833,6000
pop;2030;223908,970;54129,7660
